title,genres,original_language,overview,popularity,production_companies,release_date,budget,runtime,status,tagline,vote_average,vote_count,keywords,adult,production_countries,spoken_languages,actor_1_popularity,actor_2_popularity,actor_3_popularity,mpaa_rating,revenue
Aquamarine,Fantasy-Romance-Family-Comedy,en,Two teenage girls discover that mermaids really do exist after a violent storm washes one ashore. The mermaid a sassy creature named Aquamarine is determined to prove to her father that real love exists and enlists the girls' help in winning the heart of a handsome lifeguard.,20.605,Fox 2000 Pictures-Storefront Pictures,2006-03-03,16.300417207752275,104.0,Released,A Fish-Out-Of-Water Comedy.,6.4,1396.0,female friendship-mermaid-teen movie-best friend-teenage love-lifeguard-woman director,0.0,"Australia, United States of America",English,6.2258,1.1508,1.667,PG,16.95130251217368
American Dreamz,Comedy-Drama,en,"The new season of ""American Dreamz"" the wildly popular television singing contest has captured the country's attention as the competition looks to be between a young Midwestern gal and a showtunes-loving young man from Orange County. Recently awakened President Staton even wants in on the craze as he signs up for the potential explosive season finale.",8.46,Universal Pictures-Depth of Field,2006-03-04,16.64872390202049,107.0,Released,Imagine a country where more people vote for a pop idol than they do for their next President.,5.0,254.0,usa president-musical-image campaign-singing competition-sleeper agent,0.0,United States of America,"English, Mandarin",3.2621,4.1081,2.4024,PG-13,15.805304569235101
The Shaggy Dog,Comedy-Family,en,The tale of a workaholic dad-turned-dog who finds that being man's best friend shows him the most important job - being a great dad.,12.603,Walt Disney Pictures-Mandeville Films-Boxing Cat Films,2006-03-09,17.72753356339242,98.0,Released,It's going to be a ruff day.,4.9,486.0,parent child relationship-workaholic-husband wife relationship-dna-transformation-daughter-animal rights-lawyer-dog-family-turns into animal,0.0,United States of America,English,2.814,1.9144,2.9946,PG,18.28296093500263
Failure to Launch,Comedy-Romance,en,Tripp an attractive man in his thirties is still living with his parents Al and Sue. Tripp's best friends Demo and Ace are also still living in their parents' homes and seem proud of it. Al and Sue are not happy however and are fascinated when friends whose adult son has recently moved away from home reveal they hired an expert to arrange the matter and couldn't be happier with the result.,17.910999999999998,Paramount-Scott Rudin Productions-Failure to Launch Productions,2006-03-10,17.72753356339242,97.0,Released,"To leave the nest, some men just need a little push.",5.8,1450.0,hotel mom-romantic comedy-lying-living with parents-pretend relationship,0.0,United States of America,English,6.0604,3.79,4.4414,PG-13,18.67071458485337
The Hills Have Eyes,Horror-Thriller,en,Based on Wes Craven's 1977 suspenseful cult classic The Hills Have Eyes is the story of a family road trip that goes terrifyingly awry when the travelers become stranded in a government atomic zone. Miles from nowhere the Carter family soon realizes the seemingly uninhabited wasteland is actually the breeding ground of a blood-thirsty mutant family...and they are the prey.,47.187,Fox Searchlight Pictures-Craven-Maddalena Films-Major Studio Partners-Dune Entertainment,2006-03-10,16.523560759066484,107.0,Released,The lucky ones die first.,6.4,2851.0,van-rape-ambush-gas station-new mexico-gore-remake-serial killer-slasher-brutality-cannibal-killer-desert-family holiday-madness-ghost town-torture porn-lost in the desert-nuclear testing-human monster,0.0,"France, United States of America",English,1.2429,1.7386,1.7293,R,18.058615771301202
The Lives of Others,Drama-Thriller,de,In 1984 East Berlin an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.,13.976,Creado Film-Wiedemann & Berg Film-ARD-Sony Pictures Classics-ARTE-Buena Vista International (Germany) GmbH-Beta Cinema,2006-03-15,14.508657738524219,137.0,Released,"Before the Fall of the Berlin Wall, East Germany's Secret Police Listened to Your Secrets.",8.042,3156.0,germany-berlin germany-berlin wall-corruption-german democratic republic-stasi-blackmail-cold war-soviet union-propaganda-freedom of speech-house search-artists' life-spying-government-interrogation-surveillance-heartbreak-east germany-communism-political thriller,0.0,"France, Germany",German,0.9533,1.1197,1.5722,R,18.064005800013632
Renaissance,Action-Animation-Science Fiction,fr,To find Ilona and unlock the secrets of her disappearance Karas must plunge deep into the parallel worlds of corporate espionage organized crime and genetic research - where the truth imprisons whoever finds it first and miracles can be bought but at a great price.,7.744,Miramax-France 2 Cinéma-CNC-MEDIA Programme of the European Union-Onyx Films-Odyssey Entertainment-Backup Media-Pathé-La Région Île-de-France-LuxAnimation,2006-03-16,16.70588231586044,105.0,Released,Paris 2054. Live forever or die trying,6.6,206.0,paris france-identity-monopoly-future-beauty-victim-dystopia-boss-police-president-disappearance-black and white-theft-scientist-researcher-corporation,0.0,"Belgium, France, Luxembourg, United Kingdom, United States of America","English, French",5.6035,1.7766,1.5228,R,14.42056286567398
She's the Man,Comedy-Drama-Romance,en,Viola Hastings is in a real jam. Complications threaten her scheme to pose as her twin brother Sebastian and take his place at a new boarding school. She falls in love with her handsome roommate Duke who loves beautiful Olivia who has fallen for Sebastian! As if that were not enough Viola's twin returns from London ahead of schedule but has no idea that his sister has already replaced him on campus.,25.73,DreamWorks Pictures-Lakeshore Entertainment-The Donners' Company,2006-03-17,16.811242831518264,105.0,Released,"If you wanna chase your dream, sometimes you gotta break the rules.",6.8,2604.0,roommate-twin sister-fake identity-sports-boarding school-twin brother-mistaken identity-football (soccer)-teen comedy-tomboy-disguised voice-the big game-woman disguised as man-gay,0.0,United States of America,English,2.614,5.2355,1.3954,PG-13,17.338605727695505
Inside Man,Crime-Drama-Thriller,en,When an armed masked gang enter a Manhattan bank lock the doors and take hostages the detective assigned to effect their release enters negotiations preoccupied with corruption charges he is facing.,29.385,40 Acres and a Mule Filmworks-Imagine Entertainment-Universal Pictures,2006-03-17,17.622173047734595,129.0,Released,It looked like the perfect bank robbery. But you can’t judge a crime by its cover.,7.402,5373.0,new york city-nazi-court case-kidnapping-hostage-bank-bank manager-ultimatum-heist-anti-semitism-police detective-bank robbery-hostage situation-financial transactions-bank vault-dark past-manhattan new york city-secret past-crooked banker-secret-public figure,0.0,United States of America,"English, Albanian",8.9252,3.7364,6.6455,R,19.04127653794272
Volver,Comedy-Drama-Romance,es,While a woman attempts to cover up her daughter's murder and reinvent her life her sister is visited by their mother who was thought to have died.,14.594,El Deseo-Canal+ España-Ministerio de Cultura España-TVE-Warner Bros. Entertainment España-Sony Pictures Classics-Focus Features,2006-03-17,16.37272755920123,121.0,Released,Return.,7.481,1498.0,child abuse-rape-fire-sexual abuse-madrid spain-return-solidarity-village-superstition-death-ghost-abusive father,0.0,"Spain, United States of America",Spanish,3.6656,1.2348,0.6935,R,18.264990294287735
Church Ball,Comedy,en,Dennis Buckstead has the hardest calling in his church. Not only has he been asked to coach a group of non-basketball players in his church but the bishop has demanded that he lead the team to the Basketball Championship. Word from the top is that this is the last season of church ball and Bishop Linderman isn't about to have his team lose for the 20th year in a row in the last season of church ball history! What was supposed to strengthen the body invigorate the mind and cultivate brotherly love seems to bring out the worst in these church-going ball players. Dennis must find a way to bring his team together and build unity along the way to win the championship or go down in church ball history as the worst team that ever played.,1.453,Halestorm Entertainment,2006-03-17,13.815510557964274,91.0,Released,Dennis Buckstead has the hardest calling in his church.,3.8,4.0,sports-basketball-coach-tournament-church-mormon,0.0,United States of America,English,1.2915,1.7748,2.3927,PG,13.049773329543477
Take the Lead,Comedy-Music-Drama,en,A former professional dancer volunteers to teach dance in the New York public school system and while his background first clashes with his students' tastes together they create a completely new style of dance. Based on the story of ballroom dancer Pierre Dulane.,17.866,New Line Cinema-Tiara Blu Films,2006-03-17,17.216707939626428,108.0,Released,Never Follow,6.872999999999999,597.0,dancing master-dance-musical-woman director,0.0,United States of America,Bulgarian,4.7161,0.9456,2.5496,PG-13,18.001263637790174
End Game,Action-Thriller,en,Alex Thomas was the man in charge of protecting the president but when the time came to fulfill his duties everything just went wrong. His conscience haunted by a bullet and his devotion to his country stronger than ever Alex teams with a seasoned reporter to navigate a treacherous web of lies unlocking a dangerous conspiracy and enter a deadly world in which skilled assassins and highly-trained ex-special ops lurk in every shadow.,12.823,Nu Image-Millennium Films-North by Northwest Entertainment-Martini Films-Equity Pictures Medienfonds GmbH & Co. KG III-Two Sticks Productions,2006-03-22,15.424948470398375,93.0,Released,The Assassination Was Only The Beginning.,5.5,73.0,assassination-cia-helicopter-journalist-usa president-trailer park-sniper-bodyguard-investigation-police-cover-up-flashback-conspiracy-shootout-first lady-explosion-cell phone-alcoholic-secret service-videotape-underwater fight,0.0,"Canada, Germany, United States of America",English,3.4693,2.7627,3.3168,R,12.245778817752209
The Wind That Shakes the Barley,Drama-War,en,In 1920s Ireland young doctor Damien O'Donovan prepares to depart for a new job in a London hospital. As he says his goodbyes at a friend's farm British Black and Tans arrive and a young man is killed. Damien joins his brother Teddy in the Irish Republican Army but political events are soon set in motion that tear the brothers apart.,14.074000000000002,Sixteen Films-Matador Pictures-Regent Capital-UK Film Council-Screen Ireland-Element Films-BIM Distribuzione-EMC Produktion-Tornasol Films-Diaphana Films-Pathé Distribution-Cinéart-TV3 Television Network Ireland-Filmcoopi Zürich-Filmstiftung Nordrhein-Westfalen,2006-03-23,15.687312734865866,127.0,Released,War has cost them their innocence... Freedom will cost them their blood.,7.4,638.0,sibling relationship-england-civil war-resistance-guerrilla warfare-underground-traitor-mercenary-independence-british army-british empire-dublin ireland-irish civil war (1922-23)-peace-historical fiction-ira (irish republican army)-ireland-colonialism,0.0,"Belgium, France, Germany, Ireland, Italy, Spain, Switzerland, United Kingdom","English, Irish, Latin",8.1402,0.573,2.0372,NR,16.946167790178425
Stay Alive,Horror-Thriller,en,"After the mysterious brutal death of an old friend a group of teenagers find themselves in possession of ""Stay Alive"" an ultra-realistic 3-D videogame based on the spine-chilling true story of a 17th century noblewoman known as ""The Blood Countess."" The gamers don't know anything about the game other than they're not supposed to have it... and they're dying to play it. Not able to resist temptation the kids begin to play the grisly game but soon make a chilling connection -- they are each being murdered one-by-one in the same way as the characters they played in the game. As the line between the game world and the real world disappears the teens must find a way to defeat the vicious and merciless Blood Countess all the while trying to... stay alive.",19.156,Spyglass Entertainment-Hollywood Pictures-Wonderland Sound and Vision,2006-03-24,16.012735135300492,85.0,Released,You die in the game - you die for real.,5.8,626.0,video game-hacker-virtual reality-virtual fight-baroness,0.0,United States of America,English,1.0143,2.4245,1.9447,PG-13,17.11523227555883
